E2E:73916 CombineModels:695 ParamTune:63687 E2E:73916 PCA:9311
E2E:26060 CombineModels:86 ParamTune:18631 E2E:26060 PCA:7122
E2E:23513 CombineModels:48 ParamTune:16032 E2E:23513 PCA:7246
E2E:26999 CombineModels:48 ParamTune:19220 E2E:26999 PCA:7189
E2E:23322 CombineModels:45 ParamTune:15881 E2E:23322 PCA:7202
E2E:24361 CombineModels:59 ParamTune:16770 E2E:24361 PCA:7319
E2E:25682 CombineModels:41 ParamTune:18178 E2E:25682 PCA:7240
E2E:25077 CombineModels:48 ParamTune:17489 E2E:25077 PCA:7272
E2E:23974 CombineModels:56 ParamTune:16493 E2E:23974 PCA:7228
E2E:25740 CombineModels:70 ParamTune:18011 E2E:25740 PCA:7466
E2E:25414 CombineModels:46 ParamTune:17701 E2E:25414 PCA:7452
E2E:23962 CombineModels:56 ParamTune:16291 E2E:23962 PCA:7412
E2E:24765 CombineModels:81 ParamTune:17257 E2E:24765 PCA:7178
E2E:25569 CombineModels:63 ParamTune:18069 E2E:25569 PCA:7207
E2E:24918 CombineModels:48 ParamTune:17384 E2E:24918 PCA:7273
E2E:26035 CombineModels:42 ParamTune:18775 E2E:26035 PCA:7000
E2E:24155 CombineModels:51 ParamTune:16533 E2E:24155 PCA:7351
E2E:24920 CombineModels:48 ParamTune:17415 E2E:24920 PCA:7232
E2E:24754 CombineModels:50 ParamTune:17342 E2E:24754 PCA:7155
E2E:24296 CombineModels:49 ParamTune:16754 E2E:24296 PCA:7259
E2E:25481 CombineModels:69 ParamTune:17876 E2E:25481 PCA:7323
E2E:24620 CombineModels:62 ParamTune:16626 E2E:24620 PCA:7715
E2E:24742 CombineModels:54 ParamTune:17264 E2E:24742 PCA:7215
E2E:24924 CombineModels:44 ParamTune:17334 E2E:24924 PCA:7330
E2E:23355 CombineModels:74 ParamTune:15873 E2E:23355 PCA:7196
E2E:25378 CombineModels:104 ParamTune:17932 E2E:25378 PCA:7136
E2E:23795 CombineModels:52 ParamTune:16235 E2E:23795 PCA:7256
E2E:25789 CombineModels:53 ParamTune:18088 E2E:25789 PCA:7453
E2E:24016 CombineModels:55 ParamTune:16428 E2E:24016 PCA:7299
E2E:26984 CombineModels:51 ParamTune:18994 E2E:26984 PCA:7733
E2E:25591 CombineModels:47 ParamTune:17895 E2E:25591 PCA:7348
E2E:24919 CombineModels:48 ParamTune:17309 E2E:24919 PCA:7349
E2E:25188 CombineModels:52 ParamTune:17786 E2E:25188 PCA:7144
E2E:25519 CombineModels:96 ParamTune:18026 E2E:25519 PCA:7194
E2E:25371 CombineModels:44 ParamTune:17537 E2E:25371 PCA:7574
E2E:24697 CombineModels:48 ParamTune:16794 E2E:24697 PCA:7655
E2E:22889 CombineModels:50 ParamTune:15490 E2E:22889 PCA:7134
E2E:29977 CombineModels:46 ParamTune:22525 E2E:29977 PCA:7176
E2E:25198 CombineModels:57 ParamTune:17045 E2E:25198 PCA:7886
E2E:24433 CombineModels:46 ParamTune:16898 E2E:24433 PCA:7273
E2E:24817 CombineModels:42 ParamTune:17191 E2E:24817 PCA:7385
E2E:24583 CombineModels:47 ParamTune:16894 E2E:24583 PCA:7432
E2E:24538 CombineModels:55 ParamTune:17017 E2E:24538 PCA:7244
