E2E:68414 Classify:58457 Shuffle:246 Extract:2081 Split:3890 E2E:68414
E2E:45504 Classify:37226 Shuffle:55 Extract:377 Split:2519 E2E:45504
E2E:37460 Classify:29171 Shuffle:49 Extract:319 Split:2499 E2E:37460
E2E:37245 Classify:29235 Shuffle:49 Extract:344 Split:2191 E2E:37245
E2E:37402 Classify:29101 Shuffle:51 Extract:378 Split:2532 E2E:37402
E2E:37283 Classify:29083 Shuffle:48 Extract:284 Split:2409 E2E:37283
E2E:37374 Classify:29146 Shuffle:47 Extract:274 Split:2449 E2E:37374
E2E:37311 Classify:29010 Shuffle:44 Extract:284 Split:2448 E2E:37311
E2E:36963 Classify:29041 Shuffle:54 Extract:302 Split:2156 E2E:36963
E2E:37488 Classify:29316 Shuffle:100 Extract:459 Split:2287 E2E:37488
E2E:37056 Classify:29066 Shuffle:48 Extract:374 Split:2197 E2E:37056
E2E:37526 Classify:29342 Shuffle:50 Extract:319 Split:2411 E2E:37526
E2E:37506 Classify:29215 Shuffle:43 Extract:397 Split:2552 E2E:37506
E2E:36989 Classify:29085 Shuffle:50 Extract:369 Split:2135 E2E:36989
E2E:38152 Classify:29869 Shuffle:48 Extract:393 Split:2538 E2E:38152
E2E:37756 Classify:29523 Shuffle:44 Extract:285 Split:2429 E2E:37756
E2E:37376 Classify:29290 Shuffle:45 Extract:381 Split:2282 E2E:37376
E2E:37802 Classify:29609 Shuffle:69 Extract:508 Split:2309 E2E:37802
E2E:37617 Classify:29353 Shuffle:47 Extract:389 Split:2465 E2E:37617
E2E:38441 Classify:30304 Shuffle:56 Extract:354 Split:2341 E2E:38441
E2E:39416 Classify:31379 Shuffle:50 Extract:458 Split:2487 E2E:39416
E2E:37536 Classify:29302 Shuffle:43 Extract:278 Split:2523 E2E:37536
E2E:37950 Classify:29633 Shuffle:95 Extract:354 Split:2534 E2E:37950
E2E:37692 Classify:29372 Shuffle:50 Extract:437 Split:2534 E2E:37692
E2E:38072 Classify:29769 Shuffle:68 Extract:392 Split:2373 E2E:38072
E2E:37532 Classify:29466 Shuffle:51 Extract:310 Split:2214 E2E:37532
E2E:37540 Classify:29458 Shuffle:56 Extract:331 Split:2270 E2E:37540
E2E:37967 Classify:29644 Shuffle:56 Extract:517 Split:2409 E2E:37967
E2E:37592 Classify:29421 Shuffle:46 Extract:287 Split:2409 E2E:37592
E2E:37420 Classify:29302 Shuffle:71 Extract:294 Split:2257 E2E:37420
E2E:37564 Classify:29421 Shuffle:50 Extract:339 Split:2372 E2E:37564
E2E:37916 Classify:29416 Shuffle:57 Extract:310 Split:2683 E2E:37916
E2E:37640 Classify:29528 Shuffle:53 Extract:353 Split:2332 E2E:37640
E2E:37632 Classify:29417 Shuffle:47 Extract:317 Split:2410 E2E:37632
E2E:37675 Classify:29460 Shuffle:52 Extract:337 Split:2420 E2E:37675
E2E:37999 Classify:29721 Shuffle:48 Extract:388 Split:2436 E2E:37999
E2E:37575 Classify:29451 Shuffle:52 Extract:360 Split:2299 E2E:37575
E2E:39046 Classify:30611 Shuffle:48 Extract:383 Split:2642 E2E:39046
E2E:37929 Classify:29972 Shuffle:46 Extract:645 Split:2550 E2E:37929
E2E:38635 Classify:30359 Shuffle:50 Extract:299 Split:2460 E2E:38635
E2E:37818 Classify:29466 Shuffle:46 Extract:400 Split:2349 E2E:37818
