E2E:40922 Classify:29324 Shuffle:246 Extract:3433 Split:4423 E2E:40922
E2E:31394 Classify:23166 Shuffle:44 Extract:318 Split:2486 E2E:31394
E2E:25341 Classify:17208 Shuffle:50 Extract:322 Split:2342 E2E:25341
E2E:25548 Classify:17407 Shuffle:43 Extract:311 Split:2342 E2E:25548
E2E:25844 Classify:17520 Shuffle:58 Extract:327 Split:2534 E2E:25844
E2E:25631 Classify:17435 Shuffle:50 Extract:328 Split:2460 E2E:25631
E2E:24942 Classify:17025 Shuffle:52 Extract:347 Split:2481 E2E:24942
E2E:25705 Classify:17316 Shuffle:53 Extract:397 Split:2550 E2E:25705
E2E:26628 Classify:18311 Shuffle:48 Extract:290 Split:2524 E2E:26628
E2E:25797 Classify:17391 Shuffle:46 Extract:295 Split:2611 E2E:25797
E2E:25206 Classify:16901 Shuffle:48 Extract:352 Split:2423 E2E:25206
E2E:25816 Classify:17176 Shuffle:52 Extract:288 Split:2678 E2E:25816
E2E:25731 Classify:18047 Shuffle:48 Extract:266 Split:2695 E2E:25731
E2E:27026 Classify:18766 Shuffle:46 Extract:340 Split:2490 E2E:27026
E2E:25868 Classify:17937 Shuffle:53 Extract:464 Split:2482 E2E:25868
E2E:25671 Classify:17486 Shuffle:42 Extract:388 Split:2422 E2E:25671
E2E:25933 Classify:17668 Shuffle:41 Extract:266 Split:2478 E2E:25933
E2E:27226 Classify:18592 Shuffle:55 Extract:288 Split:2861 E2E:27226
E2E:25800 Classify:17624 Shuffle:42 Extract:336 Split:2427 E2E:25800
E2E:25567 Classify:17388 Shuffle:46 Extract:444 Split:2422 E2E:25567
E2E:25731 Classify:17584 Shuffle:58 Extract:314 Split:2368 E2E:25731
E2E:25892 Classify:17458 Shuffle:42 Extract:702 Split:2642 E2E:25892
E2E:25818 Classify:17908 Shuffle:45 Extract:655 Split:2419 E2E:25818
E2E:26338 Classify:17938 Shuffle:49 Extract:405 Split:2502 E2E:26338
E2E:26079 Classify:19486 Shuffle:47 Extract:271 Split:2544 E2E:26079
E2E:26502 Classify:17891 Shuffle:70 Extract:309 Split:2764 E2E:26502
E2E:25787 Classify:17610 Shuffle:51 Extract:363 Split:2402 E2E:25787
E2E:26189 Classify:17980 Shuffle:53 Extract:303 Split:2492 E2E:26189
E2E:25711 Classify:17554 Shuffle:122 Extract:330 Split:2357 E2E:25711
E2E:25515 Classify:17500 Shuffle:42 Extract:335 Split:2277 E2E:25515
E2E:25742 Classify:17590 Shuffle:44 Extract:335 Split:2373 E2E:25742
E2E:25967 Classify:17449 Shuffle:145 Extract:555 Split:2566 E2E:25967
E2E:25873 Classify:17698 Shuffle:44 Extract:262 Split:2447 E2E:25873
E2E:26351 Classify:18015 Shuffle:47 Extract:313 Split:2520 E2E:26351
E2E:26042 Classify:17726 Shuffle:38 Extract:291 Split:2507 E2E:26042
E2E:25586 Classify:17128 Shuffle:60 Extract:272 Split:2700 E2E:25586
E2E:25986 Classify:17501 Shuffle:48 Extract:346 Split:2662 E2E:25986
E2E:25223 Classify:17115 Shuffle:44 Extract:334 Split:2389 E2E:25223
E2E:25698 Classify:17577 Shuffle:55 Extract:346 Split:2343 E2E:25698
E2E:26058 Classify:17421 Shuffle:56 Extract:312 Split:2832 E2E:26058
E2E:26132 Classify:17655 Shuffle:47 Extract:316 Split:2680 E2E:26132
E2E:25350 Classify:17134 Shuffle:57 Extract:539 Split:2436 E2E:25350
E2E:25436 Classify:17735 Shuffle:47 Extract:296 Split:2399 E2E:25436
E2E:25574 Classify:17785 Shuffle:44 Extract:843 Split:2406 E2E:25574
E2E:25863 Classify:17526 Shuffle:53 Extract:412 Split:2371 E2E:25863
E2E:25917 Classify:17381 Shuffle:49 Extract:259 Split:2807 E2E:25917
E2E:25831 Classify:17598 Shuffle:43 Extract:295 Split:2578 E2E:25831
E2E:25791 Classify:17882 Shuffle:38 Extract:290 Split:2425 E2E:25791
E2E:25695 Classify:17490 Shuffle:66 Extract:444 Split:2323 E2E:25695
E2E:26214 Classify:18047 Shuffle:53 Extract:309 Split:2396 E2E:26214
E2E:25964 Classify:17505 Shuffle:69 Extract:352 Split:2668 E2E:25964
E2E:26157 Classify:17603 Shuffle:39 Extract:265 Split:2758 E2E:26157
E2E:26211 Classify:17838 Shuffle:69 Extract:288 Split:2453 E2E:26211
E2E:25685 Classify:17462 Shuffle:49 Extract:263 Split:2421 E2E:25685
E2E:25639 Classify:17971 Shuffle:50 Extract:327 Split:2397 E2E:25639
E2E:25979 Classify:18156 Shuffle:54 Extract:330 Split:2535 E2E:25979
E2E:25832 Classify:17945 Shuffle:41 Extract:438 Split:2407 E2E:25832
E2E:25786 Classify:17577 Shuffle:49 Extract:337 Split:2357 E2E:25786
E2E:25531 Classify:17458 Shuffle:59 Extract:405 Split:2328 E2E:25531
E2E:25933 Classify:17698 Shuffle:56 Extract:333 Split:2473 E2E:25933
E2E:25911 Classify:17612 Shuffle:44 Extract:262 Split:2459 E2E:25911
E2E:25872 Classify:17548 Shuffle:56 Extract:321 Split:2505 E2E:25872
E2E:25979 Classify:17653 Shuffle:47 Extract:318 Split:2562 E2E:25979
E2E:25992 Classify:17671 Shuffle:53 Extract:366 Split:2535 E2E:25992
E2E:25705 Classify:17545 Shuffle:43 Extract:255 Split:2341 E2E:25705
E2E:25855 Classify:17650 Shuffle:55 Extract:836 Split:2396 E2E:25855
E2E:25842 Classify:18204 Shuffle:47 Extract:366 Split:2538 E2E:25842
E2E:25965 Classify:17721 Shuffle:45 Extract:299 Split:2425 E2E:25965
E2E:25722 Classify:17493 Shuffle:45 Extract:657 Split:2435 E2E:25722
E2E:25748 Classify:17550 Shuffle:47 Extract:400 Split:2467 E2E:25748
E2E:25950 Classify:17485 Shuffle:73 Extract:303 Split:2841 E2E:25950
E2E:25724 Classify:17606 Shuffle:52 Extract:324 Split:2347 E2E:25724
E2E:25712 Classify:17316 Shuffle:40 Extract:336 Split:2633 E2E:25712
